"miejsce_id","kategoria","nazwa","wezwanie","typ","kul_ob","komentarz","wikikul_type","wikikul_id"
22763,jednostka,Pczew,Maria Magdalena,parafia,15634,,Q2,Q3169
22765,jednostka,Pniewy,Wawrzyniec M,parafia,15624,,Q2,Q3170
22766,jednostka,Dokowo Mokre,Katarzyna PM,parafia,15683,,Q2,Q3171
22767,jednostka,Ceradz Stary,Stanisław Bp,parafia,15672,,Q2,Q3172
22768,jednostka,Wronki,Katarzyna PM,parafia,15655,,Q2,Q3173
22770,jednostka,Kamiona,NarNMP,parafia,15606,,Q2,Q3174
22771,jednostka,Lewice,Mikołaj Bp,parafia,15609,,Q2,Q3175
22772,jednostka,Międzychód,"Jan Ch, Andrzej Ap, Elżbieta Wd",parafia,15614,,Q2,Q3176
22773,jednostka,Trzciel,Wojciech Bp,parafia,15650,,Q2,Q3177
22775,jednostka,Rokitno,Wszyscy Św,parafia,15778,,Q2,Q3178
22777,jednostka,Lubosz,"NawNMP, Bartłomiej Ap",parafia,15735,,Q2,Q3179
22778,jednostka,Zbąszyń,"WnNMP, Stanisław Bp",parafia,15657,,Q2,Q3180
22779,jednostka,Psarskie,WnNMP,parafia,15772,,Q2,Q3181
22780,jednostka,Ruchocice,Urszula PM,parafia,15780,,Q2,Q3182
22783,jednostka,Lutomie,Andrzej Ap,parafia,15738,,Q2,Q3184
22785,jednostka,Wierzbno,"WnNMP, Mikołaj Bp",parafia,15805,,Q2,Q3185
22786,jednostka,Otorowo,Wszyscy Św,parafia,15622,,Q2,Q3186
22787,jednostka,Kopanica,"WnNMP, Mateusz Ap",parafia,15722,,Q2,Q3187
22788,jednostka,Sieraków,Wszyscy Św,parafia,15641,,Q2,Q3188
22801,jednostka,Rogalinko,Michał A,parafia,15777,,Q2,Q3189
22803,jednostka,Mądre,Jadwiga Wd,parafia,13608,,Q2,Q3191
22804,jednostka,Objezierze,Bartłomiej Ap,parafia,15754,,Q2,Q3192
22805,jednostka,Kiszewo,Anna,parafia,15717,,Q2,Q3193
22806,jednostka,Romiejewice,Stanisław Bp,parafia,13642,,Q2,Q3194
22807,jednostka,Ludomie,Wszyscy Św,parafia,15736,,Q2,Q3195
22808,jednostka,Piła,Jan Ch,parafia,15623,,Q2,Q3196
22810,jednostka,Lechnino,Stanisław Bp,parafia,13982,,Q2,Q3197
22813,jednostka,Boruszyno,Andrzej Ap,parafia,15664,,Q2,Q3198
22814,jednostka,Poznań - św. Wojciech,Wojciech Bp,parafia,15629,,Q2,Q3199
22815,jednostka,Wiry Wielkie,Florian M,parafia,15810,,Q2,Q3200
